"","x"
"1",0.450704225352113
"2",0.449652777777778
"3",0.445993031358885
"4",0.445993031358885
"5",0.448695652173913
"6",0.44695652173913
"7",0.44695652173913
"8",0.445993031358885
"9",0.4430823117338
"10",0.445422535211268
"11",0.446017699115044
"12",0.447415329768271
"13",0.443649373881932
"14",0.443649373881932
"15",0.443649373881932
"16",0.444244604316547
"17",0.443037974683544
"18",0.443840579710145
"19",0.44464609800363
"20",0.443430656934307
"21",0.443430656934307
"22",0.443430656934307
"23",0.441605839416058
"24",0.441605839416058
"25",0.443430656934307
